,Unnamed: 0,Tweets,Angry,Fear,Happy,Sad,Surprise
95,95,"RT @IngrahamAngle: Netflix losing subscribers.
CNN+ shuts down.
Disney stock value dropping.
Twitter takeover by Musk.

Just the beginning?",0.33,0.33,0.0,0.33,0.0
96,96,"RT @MichKatami: Here is @dhanushkraja first look for #TheGrayMan. The movie will be out on July 22 on Netflix, 17th July in theatres. @AGBO…",0.0,0.0,0.0,0.0,1.0
97,97,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…",0.33,0.0,0.0,0.33,0.33
98,98,"RT @nandha_reports: waiting thalaiva..@dhanushkraja  

#TheGrayMan #Dhanush #dhanushkraja  #Netflix https://t.co/P0hw5ol0jW",0.0,0.0,0.0,0.0,1.0
99,99,WEY CHRIS Y REGÉ-JEAN VAN A SALIR JUNTOS EN UNA PELI https://t.co/jZZ6ZzZ46q,0.0,0.0,0.0,0.0,0.0
100,100,"RT @cheeks4042: Akka : Netflix lo Gangubhai ki English subtitles lev entra

Me : Aithey hindi nerchuko

Also Me : Eroju Meghanas lo  biryan…",0.0,0.0,0.0,0.0,0.0
101,101,RT @AngieCoss2002: Pikachu I choose you! Come to my crib so we can watch Netflix or Pokémon 🍑 https://t.co/g5tObvZkpr,0.0,0.0,0.0,0.0,1.0
102,102,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…,0.5,0.0,0.0,0.0,0.5
103,103,RT @shelbyverse: so @netflix what about heartstopper pictures for our netflix accounts,0.0,1.0,0.0,0.0,0.0
104,104,"RT @netflix: The fans are ready. Are you? Ozark, the final episodes, streaming this Friday. https://t.co/DVaWE6vrHa",0.0,0.33,0.33,0.33,0.0
105,105,"RT @netflix: The fans are ready. Are you? Ozark, the final episodes, streaming this Friday. https://t.co/DVaWE6vrHa",0.0,0.33,0.33,0.33,0.0
106,106,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…,0.5,0.0,0.0,0.0,0.5
107,107,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…,0.5,0.0,0.0,0.0,0.5
108,108,"@RayForsyth85 @FattusPrickus @ChicksRule Worst Roommate Ever on Netflix talked about her many crimes recently, not sure if she's been on anything else",0.0,0.25,0.0,0.5,0.25
109,109,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G,0.0,1.0,0.0,0.0,0.0
110,110,RT @kit_connor: Here we go,0.0,0.0,0.0,0.0,0.0
111,111,"RT @H2Omelonsugar3: Wanna Netflix and chill? 🍆

RT if yes! https://t.co/W4KI3pOHNz",0.0,0.0,0.0,1.0,0.0
112,112,"RT @netflix: Romantic gestures on a sports fields just hit different

📺 Heartstopper 
📽️ To All The Boys... https://t.co/1cskoi77X9",0.33,0.33,0.33,0.0,0.0
113,113,"RT @hemanth_javvadi: STREAMING ALERT: #RadheShyam 💞 #Hindi Will Be Available On #Netflix @NetflixIndia From May 3rd!!

#Prabhas #LovePrabha…",0.0,1.0,0.0,0.0,0.0
114,114,RT @Angelo4justice3: 🇷🇺🇺🇦🇹🇷Ukrainian security forces remaining at Azovstal do not trust Kiev and ask for evacuation to Turkey - DPR head De…,0.0,1.0,0.0,0.0,0.0
115,115,RT @rosealinaof: Te paso a buscar y vemos Pokémon en Netflix? 😈😍 RT https://t.co/TWHhIwYnhI,0.0,0.0,0.0,0.0,0.0
116,116,"RT @vamsikaka: The First Look of @dhanushkraja from @NetflixFilm's #TheGrayMan Directed by @Russo_Brothers Releases on Netflix, July 22nd h…",0.0,0.5,0.0,0.0,0.5
117,117,"RT @Reuters: After Netflix fell 35% in one day last week, investors are wondering if the credits are rolling on media stocks. Adam Coons of…",0.17,0.5,0.17,0.0,0.17
118,118,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G,0.0,1.0,0.0,0.0,0.0
119,119,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…,0.5,0.0,0.0,0.0,0.5
120,120,RT @netflix: It’s Ryan Gosling vs. Chris Evans in The Gray Man — FIRST LOOK: https://t.co/YWxFRJW62D,0.0,0.5,0.0,0.0,0.5
121,121,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…,0.5,0.0,0.0,0.0,0.5
122,122,"RT @MichKatami: Here is @dhanushkraja first look for #TheGrayMan. The movie will be out on July 22 on Netflix, 17th July in theatres. @AGBO…",0.0,0.0,0.0,0.0,1.0
123,123,"I tried something new today. I tried to implement GraphQL API using Netflix's domain graph service(DGS).
But yes, using schema-first approach. 

Please have a look &amp; share your thoughts/feedback, 

https://t.co/FEAdSDbG1K

#springboot #GraphQL #Netflix #OpenSource #cloudcomputing",0.0,0.33,0.0,0.33,0.33
124,124,"RT @kwinroselyn: Looking for a boyfriend that loves anime, Pokémon &amp; Netflix👅🍑 https://t.co/8UPeUyqu0n",0.0,0.0,1.0,0.0,0.0
125,125,"@tonygoldmark I never supported boycotts of companies like Netflix or Twitter. I'd love to see the bigots purged from these platforms but, if that's not going to happen, the next best thing we can do is oppose their content with our own. We shouldn't be surrendering these battlefields.",0.0,0.33,0.17,0.17,0.33
126,126,"If You Think Netflix Was Bad, Watch Out For These 300 Stocks https://t.co/HMW8c8RNOp",0.0,0.25,0.0,0.25,0.5
127,127,"RT @KISSmaniacz: @Pagmenzies @sunlorrie Not if @elonmusk, @Twitter, @Google, @YouTube, @Microsoft, @Pinterest, @instagram, @Facebook, @Meta…",0.0,0.0,0.0,1.0,0.0
128,128,Grace and Frankie | A Farewell to 7 Seasons with Jane Fonda and Lily Tomlin | Netflix https://t.co/RJWUfqJXIv #Movie #Video #Trailer #VOD #Netflix,0.0,0.0,0.0,0.0,0.0
129,129,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…",0.33,0.0,0.0,0.33,0.33
130,130,"RT @schonheit1385: Although HyoJeong already spotted filming their new kdramas, #BusinessProposal still at Top10 in 24 countries up to date…",0.0,1.0,0.0,0.0,0.0
131,131,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…,0.5,0.0,0.0,0.0,0.5
132,132,"RT @MichKatami: Here is @dhanushkraja first look for #TheGrayMan. The movie will be out on July 22 on Netflix, 17th July in theatres. @AGBO…",0.0,0.0,0.0,0.0,1.0
133,133,"RT @snyder_all: Since exposing WB's management,

- Ray Fisher was in a project produced by Jay Z and Will Smith

- Will star in Netflix big…",0.0,0.0,0.0,0.0,0.0
134,134,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…,0.5,0.0,0.0,0.0,0.5
135,135,"RT @Udanshi27: Work, flex, save, sleep, eat, Netflix and chill.

Soft life.",0.0,1.0,0.0,0.0,0.0
136,136,@netflix this is a horrendous idea,0.0,0.0,0.0,0.0,0.0
137,137,"I know that a lot of people are already dancing on Netflix's grave (and fair enough tbh), but I have to say that they made/distributed some of my absolute favourite animations of recent years, and I'll be beyond sad not to see what would have come next",0.0,0.5,0.12,0.25,0.12
138,138,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G,0.0,1.0,0.0,0.0,0.0
139,139,"RT @nandha_reports: waiting thalaiva..@dhanushkraja  

#TheGrayMan #Dhanush #dhanushkraja  #Netflix https://t.co/P0hw5ol0jW",0.0,0.0,0.0,0.0,1.0
140,140,RT @Budin_chigurh: Así te roban en Netflix,0.0,0.0,0.0,0.0,0.0
141,141,RT @netflix: It’s Ryan Gosling vs. Chris Evans in The Gray Man — FIRST LOOK: https://t.co/YWxFRJW62D,0.0,0.5,0.0,0.0,0.5
142,142,"RT @KaiZenKDP: Netflix: *heavily increases subscription price*

Users: *unsubscribe*

Netflix: ""Ah I see, it was animation that was the pro…",0.0,0.0,0.0,0.0,0.0
143,143,RT @rosealinaof: Te paso a buscar y vemos Pokémon en Netflix? 😈😍 RT https://t.co/TWHhIwYnhI,0.0,0.0,0.0,0.0,0.0
144,144,"RT @Trendswoodcom: #TheGrayMan First Look Of DHANUSH 🔥

Premiere On July 22nd On Netflix https://t.co/RUPCXqvper",0.0,0.0,0.0,0.0,1.0
145,145,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ,0.0,0.0,0.0,0.5,0.5
146,146,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G,0.0,1.0,0.0,0.0,0.0
147,147,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…,0.5,0.0,0.0,0.0,0.5
148,148,RT @Carnage4Life: Netflix and Shopify are both down by two thirds of their value so far this year. There are shitcoins that are outperformi…,0.0,1.0,0.0,0.0,0.0
149,149,RT @PopCrave: #Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://…,0.5,0.0,0.0,0.0,0.5
150,150,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…",0.33,0.0,0.0,0.33,0.33
151,151,RT @siya6888: @NtuliPitika Netflix put out almost a billion rands in funding to production companies in 🇿🇦 to produce content yet none are…,0.0,0.67,0.0,0.33,0.0
152,152,"RT @vamsikaka: The First Look of @dhanushkraja from @NetflixFilm's #TheGrayMan Directed by @Russo_Brothers Releases on Netflix, July 22nd h…",0.0,0.5,0.0,0.0,0.5
153,153,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G,0.0,1.0,0.0,0.0,0.0
154,154,"RT @UrsVamsiShekar: Here's The First Look of @dhanushkraja from @NetflixFilm's #TheGrayMan 💥

Directed by @Russo_Brothers,
Releasing on Net…",0.0,0.0,0.0,0.0,1.0
155,155,@310Ventures @JackPosobiec The Return of Talcum X. Streaming now on Netflix,0.0,0.0,0.0,0.0,0.0
156,156,"RT @VenghaiMohan: International actor @dhanushkraja star ..

The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers ht…",0.0,1.0,0.0,0.0,0.0
157,157,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ,0.0,0.0,0.0,0.5,0.5
158,158,RT @HanuNewws: #RadheShyam (Hindi) set to stream on #Netflix from 3rd may. https://t.co/ceuiWLayZP,0.0,1.0,0.0,0.0,0.0
